K,case,Liver_Dice,Tumor_Dice,Avg_Dice
8,Liver_0099,0.9694484420786157,0.91435593854907,0.9419021903138429
8,Liver_0100,0.9790746384314647,0.7852144267001615,0.882144532565813
8,Liver_0101,0.9739414184412707,0.8918084722668206,0.9328749453540457
8,Liver_0108,0.9043596900376231,0.30888684452621895,0.606623267281921
8,Liver_0114,0.9647495458838916,0.6261132995514961,0.7954314227176938
8,Liver_0115,0.9212837757950952,0.0,0.4606418878975476
8,Liver_0127,0.9615724443520082,0.3060372511239563,0.6338048477379823
8,Liver_0129,0.9661199340464948,0.6870931786949516,0.8266065563707232
8,Liver_0131,0.8572552403679313,0.38827761490312623,0.6227664276355288
16,Liver_0001,0.965249353913314,0.6921461570768584,0.8286977554950863
16,Liver_0027,0.9729780899614322,0.8500088952143746,0.9114934925879035
16,Liver_0029,0.9386403810503386,0.8587602589845921,0.8987003200174654
16,Liver_0031,0.9267765046299794,0.29946009236973914,0.6131182984998593
16,Liver_0054,0.9455061709628354,0.5215296597410418,0.7335179153519387
16,Liver_0057,0.8518874071716,0.5621773725889097,0.7070323898802549
16,Liver_0063,0.9759457838491759,0.6930542340627973,0.8345000089559866
16,Liver_0071,0.9535655424555781,0.8620095957393081,0.9077875690974431
16,Liver_0072,0.9435402077702282,0.5658245241555839,0.754682365962906
16,Liver_0074,0.9293791088385683,0.32075471698113206,0.6250669129098502
16,Liver_0076,0.9606335216447707,0.8185358255451713,0.8895846735949711
16,Liver_0077,0.9592537748301389,0.9047654807560342,0.9320096277930865
16,Liver_0079,0.9275812719597839,0.7984455329312229,0.8630134024455034
16,Liver_0080,0.9451608006219495,0.8260403260403261,0.8856005633311378
16,Liver_0082,0.9630015258801701,0.8664906656609467,0.9147460957705584
16,Liver_0094,0.962954233656046,0.7955415811672362,0.879247907411641
16,Liver_0097,0.9036558998676488,0.6966216652671016,0.8001387825673751
16,Liver_0099,0.9684529608139496,0.9142752716103995,0.9413641162121745
16,Liver_0100,0.978956401053194,0.7847750245996958,0.8818657128264449
16,Liver_0101,0.9735087815516029,0.8908699884606761,0.9321893850061396
16,Liver_0108,0.903025576674983,0.31388868247008994,0.6084571295725365
16,Liver_0114,0.9683335237779866,0.6256282994179488,0.7969809115979678
16,Liver_0115,0.920384261120212,0.0,0.460192130560106
16,Liver_0127,0.9595992791966175,0.46371929824561403,0.7116592887211157
16,Liver_0129,0.9657944743882693,0.6878759833410458,0.8268352288646575
16,Liver_0131,0.8585146282378722,0.38153561770839156,0.6200251229731318
32,Liver_0001,0.9647809188944,0.6965153115100317,0.8306481152022158
32,Liver_0027,0.9730325955349096,0.8499745719613494,0.9115035837481296
32,Liver_0029,0.938416533800323,0.8566349372148555,0.8975257355075892
32,Liver_0031,0.924836198549751,0.3122367530692003,0.6185364758094756
32,Liver_0054,0.9457949501687312,0.5068954949433037,0.7263452225560174
32,Liver_0057,0.8537986757000021,0.5509405659612422,0.7023696208306222
32,Liver_0063,0.9755762306044928,0.6829084041548631,0.8292423173796779
32,Liver_0071,0.9532923036425766,0.862407162291345,0.9078497329669608
32,Liver_0072,0.9414521187281831,0.533838140007623,0.737645129367903
32,Liver_0074,0.9294630577078571,0.2549889135254989,0.592225985616678
32,Liver_0076,0.9606162085312768,0.820462944952344,0.8905395767418104
32,Liver_0077,0.9587104757084841,0.8995721156849272,0.9291412956967057
32,Liver_0079,0.9264602223266492,0.8024073848155829,0.8644338035711161
32,Liver_0080,0.9447070816940345,0.8250523714884246,0.8848797265912296
32,Liver_0082,0.9631213853533233,0.8680996117791876,0.9156104985662554
32,Liver_0094,0.9624549164004351,0.7932855653109967,0.877870240855716
32,Liver_0097,0.9031953153320006,0.6976205050728695,0.8004079102024351
32,Liver_0099,0.9677977665421584,0.9140114710116992,0.9409046187769288
32,Liver_0100,0.9789371709440058,0.783420899007589,0.8811790349757974
32,Liver_0101,0.9731980217923525,0.8882812234701393,0.9307396226312459
32,Liver_0108,0.9044869739992044,0.32742293753166285,0.6159549557654336
32,Liver_0114,0.9703561153023933,0.6326508246725968,0.801503469987495
32,Liver_0115,0.9201455379629281,0.0,0.46007276898146404
32,Liver_0127,0.9593214523324157,0.5239616613418531,0.7416415568371344
32,Liver_0129,0.9666879382373827,0.7088342369241246,0.8377610875807537
32,Liver_0131,0.8536859868904779,0.3550786518039305,0.6043823193472042
inf,Liver_0001,0.9645068902195019,0.6911392405063291,0.8278230653629155
